resource-type,md-file
aws.iam-policy,aws.iam-policy.md
aws.iam-profile,aws.iam-profile.md
aws.iam-role,aws.iam-role.md
aws.iam-saml-provider,aws.iam-saml-provider.md
aws.iam-user,aws.iam-user.md
aws.identity-pool,aws.identity-pool.md
aws.insight-rule,aws.insight-rule.md
aws.inspector2-finding,aws.inspector2-finding.md
aws.internet-gateway,aws.internet-gateway.md
aws.iot,aws.iot.md
aws.kafka,aws.kafka.md
aws.kafka-config,aws.kafka-config.md
aws.kendra,aws.kendra.md
aws.key-pair,aws.key-pair.md
aws.kinesis,aws.kinesis.md
aws.kinesis-analytics,aws.kinesis-analytics.md
aws.kinesis-analyticsv2,aws.kinesis-analyticsv2.md
aws.kinesis-video,aws.kinesis-video.md
aws.kms,aws.kms.md
aws.kms-key,aws.kms-key.md
aws.lambda,aws.lambda.md
aws.lambda-layer,aws.lambda-layer.md
aws.launch-config,aws.launch-config.md
aws.launch-template-version,aws.launch-template-version.md
aws.lex-bot,aws.lex-bot.md
aws.lexv2-bot,aws.lexv2-bot.md
aws.lightsail-db,aws.lightsail-db.md
aws.lightsail-elb,aws.lightsail-elb.md
aws.lightsail-instance,aws.lightsail-instance.md
aws.log-destination,aws.log-destination.md
aws.log-group,aws.log-group.md
aws.log-metric,aws.log-metric.md
aws.memorydb,aws.memorydb.md
aws.memorydb-acl,aws.memorydb-acl.md
aws.memorydb-snapshot,aws.memorydb-snapshot.md
aws.memorydb-subnet-group,aws.memorydb-subnet-group.md
aws.memorydb-user,aws.memorydb-user.md
aws.message-broker,aws.message-broker.md
aws.message-config,aws.message-config.md
aws.mirror-session,aws.mirror-session.md
aws.mirror-target,aws.mirror-target.md
aws.ml-model,aws.ml-model.md
aws.nat-gateway,aws.nat-gateway.md
aws.network-acl,aws.network-acl.md
aws.network-addr,aws.network-addr.md
aws.networkmanager-core,aws.networkmanager-core.md
aws.networkmanager-device,aws.networkmanager-device.md
aws.networkmanager-global,aws.networkmanager-global.md
aws.networkmanager-link,aws.networkmanager-link.md
aws.networkmanager-site,aws.networkmanager-site.md
aws.opensearch-ingestion,aws.opensearch-ingestion.md
aws.opensearch-serverless,aws.opensearch-serverless.md
aws.ops-item,aws.ops-item.md
aws.opswork-cm,aws.opswork-cm.md
aws.opswork-stack,aws.opswork-stack.md
aws.org-account,aws.org-account.md
aws.org-policy,aws.org-policy.md
aws.org-unit,aws.org-unit.md
aws.origin-access-control,aws.origin-access-control.md
aws.peering-connection,aws.peering-connection.md
aws.pinpoint-app,aws.pinpoint-app.md
aws.prefix-list,aws.prefix-list.md
aws.qldb,aws.qldb.md
aws.quicksight-account,aws.quicksight-account.md
aws.quicksight-group,aws.quicksight-group.md
aws.quicksight-user,aws.quicksight-user.md
aws.r53domain,aws.r53domain.md
aws.rds,aws.rds.md
aws.rds-cluster,aws.rds-cluster.md
aws.rds-cluster-param-group,aws.rds-cluster-param-group.md
aws.rds-cluster-snapshot,aws.rds-cluster-snapshot.md
aws.rds-param-group,aws.rds-param-group.md
aws.rds-proxy,aws.rds-proxy.md
aws.rds-reserved,aws.rds-reserved.md
aws.rds-snapshot,aws.rds-snapshot.md
aws.rds-subnet-group,aws.rds-subnet-group.md
aws.rds-subscription,aws.rds-subscription.md
aws.readiness-check,aws.readiness-check.md
aws.recovery-cluster,aws.recovery-cluster.md
aws.recovery-control-panel,aws.recovery-control-panel.md
aws.redshift,aws.redshift.md
aws.redshift-reserved,aws.redshift-reserved.md
aws.redshift-snapshot,aws.redshift-snapshot.md
aws.redshift-subnet-group,aws.redshift-subnet-group.md
aws.resolver-logs,aws.resolver-logs.md
aws.rest-account,aws.rest-account.md
aws.rest-api,aws.rest-api.md
aws.rest-client-certificate,aws.rest-client-certificate.md
aws.rest-resource,aws.rest-resource.md
aws.rest-stage,aws.rest-stage.md
aws.rest-vpclink,aws.rest-vpclink.md
aws.route-table,aws.route-table.md
aws.rrset,aws.rrset.md
aws.s3,aws.s3.md
aws.s3-access-point,aws.s3-access-point.md
aws.s3-access-point-multi,aws.s3-access-point-multi.md
aws.s3-directory,aws.s3-directory.md
aws.s3-storage-lens,aws.s3-storage-lens.md
aws.sagemaker-auto-ml-job,aws.sagemaker-auto-ml-job.md
aws.sagemaker-cluster,aws.sagemaker-cluster.md
aws.sagemaker-compilation-job,aws.sagemaker-compilation-job.md
aws.sagemaker-data-quality-job-definition,aws.sagemaker-data-quality-job-definition.md
aws.sagemaker-domain,aws.sagemaker-domain.md
aws.sagemaker-endpoint,aws.sagemaker-endpoint.md
aws.sagemaker-endpoint-config,aws.sagemaker-endpoint-config.md
aws.sagemaker-hyperparameter-tuning-job,aws.sagemaker-hyperparameter-tuning-job.md
aws.sagemaker-job,aws.sagemaker-job.md
aws.sagemaker-model,aws.sagemaker-model.md
aws.sagemaker-model-bias-job-definition,aws.sagemaker-model-bias-job-definition.md
aws.sagemaker-model-explainability-job-definition,aws.sagemaker-model-explainability-job-definition.md
aws.sagemaker-model-quality-job-definition,aws.sagemaker-model-quality-job-definition.md
aws.sagemaker-notebook,aws.sagemaker-notebook.md
aws.sagemaker-processing-job,aws.sagemaker-processing-job.md
aws.sagemaker-transform-job,aws.sagemaker-transform-job.md
aws.scaling-policy,aws.scaling-policy.md
aws.secrets-manager,aws.secrets-manager.md
aws.security-group,aws.security-group.md
aws.securityhub-finding,aws.securityhub-finding.md
aws.serverless-app,aws.serverless-app.md
aws.service-quota,aws.service-quota.md
aws.service-quota-request,aws.service-quota-request.md
aws.servicediscovery-namespace,aws.servicediscovery-namespace.md
aws.ses-configuration-set,aws.ses-configuration-set.md
